 Satellite:           Jason-1
 Date of filtering:   10-May-2015, 19:56:13
 Original file: 	  Jason-1\Jason-1_ASCII\110\110_002tu_jason1.00_ASCII.txt 
 Filters configuration: 	         0 and          0 
 
            jday	           glat	           glon	           hsat	           ralt	    stdalt	       swh	     otide	     etide	      invb	     wtrop	     dtrop	     ionos	      mssh	      geoh	    iflags	    oflags	     ptide	       emb	
               d	            deg	            deg	              m	              m	         m	         m	         m	         m	         m	         m	         m	         m	         m	         m	         -	         -	         m	         m	
==========================================================================================================================================================================================================================================================
      1825.57657	      12.888756	     261.057988	    1340339.118	    1340349.050	     0.057	     1.450	    -0.023	    -0.122	    -0.022	    -0.148	    -2.310	    -0.045	    -7.458	    -8.214	         0	         0	     0.002	    -0.066	
      1825.57658	      12.839034	     261.076956	    1340333.524	    1340343.452	     0.077	     1.630	    -0.022	    -0.122	    -0.022	    -0.148	    -2.310	    -0.016	    -7.447	    -8.204	         0	         0	     0.002	    -0.071	
      1825.57659	      12.789311	     261.095915	    1340327.954	    1340337.882	     0.079	     1.660	    -0.021	    -0.122	    -0.022	    -0.148	    -2.310	    -0.025	    -7.446	    -8.202	         0	         0	     0.002	    -0.074	
      1825.57660	      12.739585	     261.114865	    1340322.410	    1340332.351	     0.078	     1.730	    -0.020	    -0.122	    -0.022	    -0.148	    -2.310	    -0.012	    -7.437	    -8.198	         0	         0	     0.002	    -0.080	
      1825.57661	      12.689857	     261.133806	    1340316.890	    1340326.763	     0.078	     1.540	    -0.019	    -0.122	    -0.022	    -0.146	    -2.310	    -0.029	    -7.424	    -8.188	         0	         0	     0.002	    -0.071	
      1825.57663	      12.640127	     261.152738	    1340311.396	    1340321.389	     0.082	     1.840	    -0.018	    -0.122	    -0.021	    -0.148	    -2.310	    -0.010	    -7.428	    -8.189	         0	         0	     0.002	    -0.083	
      1825.57664	      12.590395	     261.171661	    1340305.926	    1340315.844	     0.066	     1.410	    -0.018	    -0.122	    -0.021	    -0.146	    -2.310	    -0.024	    -7.437	    -8.201	         0	         0	     0.002	    -0.069	
      1825.57665	      12.540660	     261.190575	    1340300.482	    1340310.410	     0.047	     1.500	    -0.017	    -0.122	    -0.021	    -0.146	    -2.310	    -0.013	    -7.447	    -8.211	         0	         0	     0.002	    -0.075	
      1825.57666	      12.490923	     261.209480	    1340295.062	    1340304.991	     0.060	     1.370	    -0.016	    -0.122	    -0.020	    -0.146	    -2.310	    -0.018	    -7.449	    -8.215	         0	         0	     0.002	    -0.071	
      1825.57667	      12.441184	     261.228377	    1340289.668	    1340299.580	     0.043	     1.570	    -0.016	    -0.122	    -0.020	    -0.145	    -2.310	    -0.033	    -7.447	    -8.213	         0	         0	     0.002	    -0.077	
      1825.57668	      12.391443	     261.247264	    1340284.299	    1340294.232	     0.063	     1.560	    -0.015	    -0.122	    -0.020	    -0.146	    -2.310	    -0.023	    -7.434	    -8.199	         0	         0	     0.002	    -0.080	
      1825.57670	      12.341700	     261.266143	    1340278.955	    1340288.859	     0.082	     1.700	    -0.015	    -0.122	    -0.020	    -0.145	    -2.310	    -0.025	    -7.413	    -8.176	         0	         0	     0.002	    -0.085	
      1825.57671	      12.291955	     261.285013	    1340273.636	    1340283.513	     0.062	     1.740	    -0.014	    -0.122	    -0.020	    -0.148	    -2.310	    -0.028	    -7.396	    -8.162	         0	         0	     0.002	    -0.086	
      1825.57672	      12.242207	     261.303874	    1340268.342	    1340278.237	     0.062	     1.620	    -0.014	    -0.122	    -0.020	    -0.147	    -2.310	    -0.020	    -7.389	    -8.158	         0	         0	     0.002	    -0.082	
      1825.57673	      12.192457	     261.322727	    1340263.074	    1340272.951	     0.074	     1.610	    -0.014	    -0.123	    -0.020	    -0.147	    -2.310	    -0.021	    -7.383	    -8.148	         0	         0	     0.002	    -0.082	
      1825.57674	      12.142706	     261.341571	    1340257.831	    1340267.703	     0.048	     1.680	    -0.013	    -0.123	    -0.020	    -0.147	    -2.310	    -0.026	    -7.374	    -8.133	         0	         0	     0.002	    -0.085	
      1825.57676	      12.092952	     261.360407	    1340252.613	    1340262.458	     0.073	     1.610	    -0.013	    -0.123	    -0.020	    -0.149	    -2.310	    -0.021	    -7.364	    -8.126	         0	         0	     0.002	    -0.081	
      1825.57677	      12.043196	     261.379234	    1340247.420	    1340257.280	     0.071	     1.570	    -0.013	    -0.123	    -0.019	    -0.149	    -2.310	    -0.030	    -7.371	    -8.132	         0	         0	     0.002	    -0.081	
      1825.57678	      11.993438	     261.398053	    1340242.252	    1340252.167	     0.095	     1.780	    -0.012	    -0.123	    -0.019	    -0.148	    -2.310	    -0.027	    -7.404	    -8.158	         0	         0	     0.002	    -0.090	
      1825.57679	      11.943678	     261.416863	    1340237.110	    1340247.063	     0.121	     1.430	    -0.012	    -0.123	    -0.019	    -0.150	    -2.310	    -0.028	    -7.468	    -8.213	         0	         0	     0.002	    -0.076	
      1825.57680	      11.893915	     261.435665	    1340231.994	    1340242.065	     0.044	     1.880	    -0.012	    -0.123	    -0.019	    -0.150	    -2.310	    -0.022	    -7.544	    -8.279	         0	         0	     0.002	    -0.095	
      1825.57681	      11.844151	     261.454458	    1340226.902	    1340236.992	     0.058	     1.630	    -0.011	    -0.123	    -0.018	    -0.150	    -2.310	    -0.029	    -7.608	    -8.346	         0	         0	     0.002	    -0.083	
      1825.57683	      11.794385	     261.473243	    1340221.836	    1340232.009	     0.073	     1.550	    -0.011	    -0.123	    -0.018	    -0.150	    -2.310	    -0.029	    -7.678	    -8.415	         0	         0	     0.002	    -0.077	
      1825.57684	      11.744617	     261.492020	    1340216.796	    1340227.065	     0.060	     1.790	    -0.011	    -0.123	    -0.018	    -0.151	    -2.310	    -0.052	    -7.758	    -8.493	         0	         0	     0.002	    -0.090	
      1825.57685	      11.694846	     261.510789	    1340211.780	    1340222.195	     0.062	     1.840	    -0.011	    -0.123	    -0.018	    -0.151	    -2.310	    -0.033	    -7.850	    -8.577	         0	         0	     0.002	    -0.090	
      1825.57686	      11.645074	     261.529549	    1340206.791	    1340217.274	     0.079	     1.780	    -0.011	    -0.123	    -0.018	    -0.152	    -2.310	    -0.022	    -7.941	    -8.653	         0	         0	     0.002	    -0.089	
      1825.57687	      11.595299	     261.548301	    1340201.826	    1340212.408	     0.091	     1.990	    -0.010	    -0.123	    -0.017	    -0.152	    -2.310	    -0.027	    -7.981	    -8.691	         0	         0	     0.002	    -0.095	
