 Satellite:           jason
 Date of parsing:     04-May-2015, 22:36:22

            jday	            glat	            glon	        hsat	        ralt	    stdalt	       swh	     otide	     etide	      invb	     wtrop	     dtrop	     ionos	      mssh	      geoh	    iflags	    oflags	     ptide	       emb
             -  	           [deg]	           [deg]	        [m] 	        [m] 	      [m] 	      [m] 	      [m] 	      [m] 	      [m] 	      [m] 	      [m] 	      [m] 	      [m] 	      [m] 	        - 	         - 	       [m] 	       [m] 
================================================================================================================================================================================================================================================================== 
      1832.50933	       66.050495	      185.233736	 1353698.919	 1299999.999	    -0.001	   327.670	    32.767	    -0.067	    -0.005	     0.000	    -2.297	    32.767	     3.830	     3.530	       200	        30	     0.003	    32.767
      1832.50934	       66.045780	      185.362385	 1353697.987	 1299999.999	    -0.001	   327.670	    32.767	    -0.067	    -0.014	     0.000	    -2.299	    32.767	     3.807	     3.547	       200	        30	     0.003	    32.767
      1832.50975	       65.807150	      189.856194	 1353648.261	 1299999.999	    -0.001	   327.670	     0.097	    -0.065	    -0.273	    -0.039	    -2.359	    32.767	     3.847	     3.723	       200	        14	     0.006	    32.767
      1832.50977	       65.798344	      189.982323	 1353646.372	 1299999.999	    -0.001	   327.670	     0.097	    -0.065	    -0.276	    -0.046	    -2.359	    32.767	     3.954	     3.757	       200	        14	     0.006	    32.767
      1832.50978	       65.789427	      190.108363	 1353644.457	 1299999.999	    -0.001	   327.670	     0.097	    -0.064	    -0.278	    -0.051	    -2.360	    32.767	     3.963	     3.788	       200	        14	     0.006	    32.767
      1832.50979	       65.780400	      190.234313	 1353642.516	 1299999.999	    -0.001	   327.670	     0.096	    -0.064	    -0.281	    -0.054	    -2.360	    32.767	     3.995	     3.824	       200	        14	     0.006	    32.767
      1832.50980	       65.771261	      190.360170	 1353640.548	 1299999.999	    -0.001	   327.670	     0.095	    -0.064	    -0.283	    -0.056	    -2.361	    32.767	     4.093	     3.880	       200	        14	     0.006	    32.767
      1832.50981	       65.762013	      190.485935	 1353638.554	 1299999.999	    -0.001	   327.670	     0.095	    -0.064	    -0.283	    -0.058	    -2.361	    32.767	     4.175	     3.946	       200	        14	     0.006	    32.767
      1832.50983	       65.752653	      190.611607	 1353636.534	 1299999.999	    -0.001	   327.670	     0.094	    -0.064	    -0.283	    -0.059	    -2.361	    32.767	     4.224	     4.010	       200	        14	     0.006	    32.767
      1832.50984	       65.743184	      190.737184	 1353634.488	 1299999.999	    -0.001	   327.670	     0.095	    -0.064	    -0.283	    -0.058	    -2.361	    32.767	     4.281	     4.073	       200	        14	     0.006	    32.767
      1832.50985	       65.733604	      190.862665	 1353632.416	 1299999.999	    -0.001	   327.670	     0.097	    -0.064	    -0.283	    -0.055	    -2.361	    32.767	     4.353	     4.125	       200	        14	     0.006	    32.767
